component_id,excel_row,source,plant_name,original_district,allocated_district,balancing_area,original_capacity_mw,allocation_share,allocated_capacity_mw,allocation_method,source_url,confidence,notes
opg_power_generation_private_ltd__unit_03,49.0,Coal,OPG Power Generation Private Ltd.,Thiruvallur,Tiruvallur,Chennai North,80.0,1.0,80.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
opg_power_generation_private_ltd__unit_04,50.0,Coal,OPG Power Generation Private Ltd.,Thiruvallur,Tiruvallur,Chennai North,180.0,1.0,180.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tcp_limited__unit_01,51.0,Coal,TCP Limited,Thiruvallur,Tiruvallur,Chennai North,63.5,1.0,63.5,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tulsyan_nec_limited__unit_01,52.0,Coal,Tulsyan NEC Limited,Thiruvallur,Tiruvallur,Chennai North,35.0,1.0,35.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tulsyan_nec_limited__unit_02,53.0,Coal,Tulsyan NEC Limited,Thiruvallur,Tiruvallur,Chennai North,35.0,1.0,35.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tuticorin_p_tpp__unit_01,54.0,Coal,Tuticorin (P) TPP,Thoothukudi,Thoothukudi,Tirunelveli,150.0,1.0,150.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tuticorin_p_tpp__unit_02,55.0,Coal,Tuticorin (P) TPP,Thoothukudi,Thoothukudi,Tirunelveli,150.0,1.0,150.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tuticorin_joint_venture__unit_01,57.0,Coal,Tuticorin Joint Venture,Thoothukudi,Thoothukudi,Tirunelveli,500.0,1.0,500.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tuticorin_joint_venture__unit_02,58.0,Coal,Tuticorin Joint Venture,Thoothukudi,Thoothukudi,Tirunelveli,500.0,1.0,500.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tuticorin_tps__unit_01,59.0,Coal,Tuticorin TPS,Thoothukudi,Thoothukudi,Tirunelveli,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tuticorin_tps__unit_02,60.0,Coal,Tuticorin TPS,Thoothukudi,Thoothukudi,Tirunelveli,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tuticorin_tps__unit_03,61.0,Coal,Tuticorin TPS,Thoothukudi,Thoothukudi,Tirunelveli,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tuticorin_tps__unit_05,62.0,Coal,Tuticorin TPS,Thoothukudi,Thoothukudi,Tirunelveli,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tuticorin_tps__unit_04,63.0,Coal,Tuticorin TPS,Thoothukudi,Thoothukudi,Tirunelveli,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tuticorin_thermal_power_plant__unit_01,64.0,Coal,Tuticorin Thermal Power Plant,Thoothukudi,Thoothukudi,Tirunelveli,525.0,1.0,525.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
vallur_tpp__unit_01,67.0,Coal,Vallur TPP,Thiruvallur,Tiruvallur,Chennai North,500.0,1.0,500.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
vallur_tpp__unit_02,68.0,Coal,Vallur TPP,Thiruvallur,Tiruvallur,Chennai North,500.0,1.0,500.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
vallur_tpp__unit_03,69.0,Coal,Vallur TPP,Thiruvallur,Tiruvallur,Chennai North,500.0,1.0,500.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
aliyar_hydroelectric_power_project__unit_01,70.0,Hydro,Aliyar Hydroelectric Power Project,Coimbatore,Coimbatore,Coimbatore,60.0,1.0,60.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
bhavani_kattalai_barrage_i_hydroelectric_power_project__unit_02,71.0,Hydro,Bhavani Kattalai Barrage I Hydroelectric Power Project,Erode,Erode,Erode,15.0,1.0,15.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
bhavani_kattalai_barrage_i_hydroelectric_power_project__unit_01,72.0,Hydro,Bhavani Kattalai Barrage I Hydroelectric Power Project,Erode,Erode,Erode,15.0,1.0,15.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
bhavani_kattalai_barrage_ii_hydroelectric_power_project__unit_01,73.0,Hydro,Bhavani Kattalai Barrage II Hydroelectric Power Project,Erode,Erode,Erode,15.0,1.0,15.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
bhavani_kattalai_barrage_ii_hydroelectric_power_project__unit_02,74.0,Hydro,Bhavani Kattalai Barrage II Hydroelectric Power Project,Erode,Erode,Erode,15.0,1.0,15.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
bhavani_kattalai_barrage_iii_hydroelectric_power_project__unit_01,75.0,Hydro,Bhavani Kattalai Barrage III Hydroelectric Power Project,Erode,Erode,Erode,15.0,1.0,15.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
bhavani_kattalai_barrage_iii_hydroelectric_power_project__unit_02,76.0,Hydro,Bhavani Kattalai Barrage III Hydroelectric Power Project,Erode,Erode,Erode,15.0,1.0,15.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kadmparai_power_house__unit_01,77.0,Hydro,Kadmparai Power House,Coimbatore,Coimbatore,Coimbatore,100.0,1.0,100.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kadmparai_power_house__unit_02,78.0,Hydro,Kadmparai Power House,Coimbatore,Coimbatore,Coimbatore,100.0,1.0,100.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kadmparai_power_house__unit_03,79.0,Hydro,Kadmparai Power House,Coimbatore,Coimbatore,Coimbatore,100.0,1.0,100.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kadmparai_power_house__unit_04,80.0,Hydro,Kadmparai Power House,Coimbatore,Coimbatore,Coimbatore,100.0,1.0,100.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kodayar_i_ii_power_house__unit_01,81.0,Hydro,Kodayar I & II Power House,Kanyakumari,Kanniyakumari,Tirunelveli,60.0,1.0,60.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kodayar_i_ii_power_house__unit_02,82.0,Hydro,Kodayar I & II Power House,Kanyakumari,Kanniyakumari,Tirunelveli,40.0,1.0,40.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_01,83.0,Hydro,Kundah I to V Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,20.0,1.0,20.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_02,84.0,Hydro,Kundah I to V Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,20.0,1.0,20.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_08,85.0,Hydro,Kundah I to V Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,20.0,1.0,20.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_03,86.0,Hydro,Kundah I to V Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,35.0,1.0,35.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_04,87.0,Hydro,Kundah I to V Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,35.0,1.0,35.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_05,88.0,Hydro,Kundah I to V Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,35.0,1.0,35.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_06,89.0,Hydro,Kundah I to V Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,35.0,1.0,35.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_07,90.0,Hydro,Kundah I to V Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,35.0,1.0,35.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_10,91.0,Hydro,Kundah I to V Hydroelectric Power Project,Coimbatore,Coimbatore,Coimbatore,60.0,1.0,60.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_11,92.0,Hydro,Kundah I to V Hydroelectric Power Project,Coimbatore,Coimbatore,Coimbatore,60.0,1.0,60.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_13,93.0,Hydro,Kundah I to V Hydroelectric Power Project,Coimbatore,Coimbatore,Coimbatore,60.0,1.0,60.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_12,94.0,Hydro,Kundah I to V Hydroelectric Power Project,Coimbatore,Coimbatore,Coimbatore,50.0,1.0,50.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_14,95.0,Hydro,Kundah I to V Hydroelectric Power Project,Coimbatore,Coimbatore,Coimbatore,50.0,1.0,50.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_09,96.0,Hydro,Kundah I to V Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,20.0,1.0,20.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
kundah_i_to_v_hydroelectric_power_project__unit_15,97.0,Hydro,Kundah I to V Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,20.0,1.0,20.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
lower_mettur_i_to_iv_hydroelectric_power_project__unit_04,102.0,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Salem,Salem,Erode,15.0,1.0,15.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
lower_mettur_i_to_iv_hydroelectric_power_project__unit_03,103.0,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Salem,Salem,Erode,15.0,1.0,15.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
lower_mettur_i_to_iv_hydroelectric_power_project__unit_05,104.0,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Salem,Salem,Erode,15.0,1.0,15.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
lower_mettur_i_to_iv_hydroelectric_power_project__unit_02,105.0,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Salem,Salem,Erode,15.0,1.0,15.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
lower_mettur_i_to_iv_hydroelectric_power_project__unit_01,106.0,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Salem,Salem,Erode,15.0,1.0,15.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
lower_mettur_i_to_iv_hydroelectric_power_project__unit_06,107.0,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Salem,Salem,Erode,15.0,1.0,15.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
lower_mettur_i_to_iv_hydroelectric_power_project__unit_08,108.0,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Salem,Salem,Erode,15.0,1.0,15.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
lower_mettur_i_to_iv_hydroelectric_power_project__unit_07,109.0,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Salem,Salem,Erode,15.0,1.0,15.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
mettur_dam_hydroelectric_power_project__unit_01,110.0,Hydro,Mettur Dam Hydroelectric Power Project,Salem,Salem,Erode,12.5,1.0,12.5,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
mettur_dam_hydroelectric_power_project__unit_02,111.0,Hydro,Mettur Dam Hydroelectric Power Project,Salem,Salem,Erode,12.5,1.0,12.5,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
mettur_dam_hydroelectric_power_project__unit_03,112.0,Hydro,Mettur Dam Hydroelectric Power Project,Salem,Salem,Erode,12.5,1.0,12.5,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
mettur_dam_hydroelectric_power_project__unit_04,113.0,Hydro,Mettur Dam Hydroelectric Power Project,Salem,Salem,Erode,12.5,1.0,12.5,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
mettur_tunnel__unit_01,114.0,Hydro,Mettur Tunnel,Salem,Salem,Erode,50.0,1.0,50.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
mettur_tunnel__unit_02,115.0,Hydro,Mettur Tunnel,Salem,Salem,Erode,50.0,1.0,50.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
mettur_tunnel__unit_03,116.0,Hydro,Mettur Tunnel,Salem,Salem,Erode,50.0,1.0,50.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
mettur_tunnel__unit_04,117.0,Hydro,Mettur Tunnel,Salem,Salem,Erode,50.0,1.0,50.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
moyar_power_house__unit_01,118.0,Hydro,Moyar Power House,Nilgiris,The Nilgiris,Coimbatore,14.0,1.0,14.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
moyar_power_house__unit_02,119.0,Hydro,Moyar Power House,Nilgiris,The Nilgiris,Coimbatore,14.0,1.0,14.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
moyar_power_house__unit_03,120.0,Hydro,Moyar Power House,Nilgiris,The Nilgiris,Coimbatore,12.0,1.0,12.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
papanasam_hydroelectric_power_project__unit_01,121.0,Hydro,Papanasam Hydroelectric Power Project,Tirunelveli,Tirunelveli,Tirunelveli,8.0,1.0,8.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
papanasam_hydroelectric_power_project__unit_02,122.0,Hydro,Papanasam Hydroelectric Power Project,Tirunelveli,Tirunelveli,Tirunelveli,8.0,1.0,8.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
papanasam_hydroelectric_power_project__unit_03,123.0,Hydro,Papanasam Hydroelectric Power Project,Tirunelveli,Tirunelveli,Tirunelveli,8.0,1.0,8.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
papanasam_hydroelectric_power_project__unit_04,124.0,Hydro,Papanasam Hydroelectric Power Project,Tirunelveli,Tirunelveli,Tirunelveli,8.0,1.0,8.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
parson_s_valley_hydroelectric_power_project__unit_01,125.0,Hydro,Parson's Valley Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,30.0,1.0,30.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
periyar_hydroelectric_power_project__unit_01,126.0,Hydro,Periyar Hydroelectric Power Project,Theni,Theni,Madurai,42.0,1.0,42.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
periyar_hydroelectric_power_project__unit_02,127.0,Hydro,Periyar Hydroelectric Power Project,Theni,Theni,Madurai,42.0,1.0,42.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
periyar_hydroelectric_power_project__unit_03,128.0,Hydro,Periyar Hydroelectric Power Project,Theni,Theni,Madurai,42.0,1.0,42.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
periyar_hydroelectric_power_project__unit_04,129.0,Hydro,Periyar Hydroelectric Power Project,Theni,Theni,Madurai,42.0,1.0,42.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
pykara_hydroelectric_power_project__unit_01,130.0,Hydro,Pykara Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,7.0,1.0,7.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
pykara_hydroelectric_power_project__unit_02,131.0,Hydro,Pykara Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,7.0,1.0,7.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
pykara_hydroelectric_power_project__unit_03,132.0,Hydro,Pykara Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,7.0,1.0,7.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
pykara_hydroelectric_power_project__unit_04,133.0,Hydro,Pykara Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,13.6,1.0,13.6,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
pykara_hydroelectric_power_project__unit_05,134.0,Hydro,Pykara Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,13.6,1.0,13.6,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
pykara_hydroelectric_power_project__unit_06,135.0,Hydro,Pykara Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,11.0,1.0,11.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
pykara_ultimate_hydroelectric_power_project__unit_01,136.0,Hydro,Pykara Ultimate Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,50.0,1.0,50.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
pykara_ultimate_hydroelectric_power_project__unit_02,137.0,Hydro,Pykara Ultimate Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,50.0,1.0,50.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
pykara_ultimate_hydroelectric_power_project__unit_03,138.0,Hydro,Pykara Ultimate Hydroelectric Power Project,Nilgiris,The Nilgiris,Coimbatore,50.0,1.0,50.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
sarkarpathy_hydroelectric_power_project__unit_01,139.0,Hydro,Sarkarpathy Hydroelectric Power Project,Coimbatore,Coimbatore,Coimbatore,30.0,1.0,30.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
sholayar_i_power_house__unit_01,140.0,Hydro,Sholayar I Power House,Coimbatore,Coimbatore,Coimbatore,42.0,1.0,42.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
sholayar_i_power_house__unit_02,141.0,Hydro,Sholayar I Power House,Coimbatore,Coimbatore,Coimbatore,42.0,1.0,42.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
suruliyar_hydroelectric_power_project__unit_01,142.0,Hydro,Suruliyar Hydroelectric Power Project,Theni,Theni,Madurai,35.0,1.0,35.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tamil_nadu_ariyalur__aggregate_01,151.0,Wind,Tamil Nadu-Ariyalur,Ariyalur,Ariyalur,Trichy,22.0,1.0,22.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tamil_nadu_chennai__aggregate_01,152.0,Wind,Tamil Nadu-Chennai,Chennai,Chennai,Chennai North,3.125,1.0,3.125,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tamil_nadu_coimbatore__aggregate_01,153.0,Wind,Tamil Nadu-Coimbatore,Coimbatore,Coimbatore,Coimbatore,2260.1875,1.0,2260.1875,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tamil_nadu_dharmapuri__aggregate_01,154.0,Wind,Tamil Nadu-Dharmapuri,Dharmapuri,Dharmapuri,Vellore,196.0,1.0,196.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tamil_nadu_dindigul__aggregate_01,155.0,Wind,Tamil Nadu-Dindigul,Dindigul,Dindigul,Madurai,635.2675,1.0,635.2675,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tamil_nadu_erode__aggregate_01,156.0,Wind,Tamil Nadu-Erode,Erode,Erode,Erode,129.33,1.0,129.33,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tamil_nadu_kancheepuram__aggregate_01,157.0,Wind,Tamil Nadu-Kancheepuram,Kancheepuram,Kancheepuram,Chennai South,7.65,1.0,7.65,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tamil_nadu_kanniyakumari__aggregate_01,158.0,Wind,Tamil Nadu-Kanniyakumari,Kanniyakumari,Kanniyakumari,Tirunelveli,349.125,1.0,349.125,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tamil_nadu_karur__aggregate_01,159.0,Wind,Tamil Nadu-Karur,Karur,Karur,Trichy,589.1025000000009,1.0,589.1025000000009,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
tamil_nadu_n_a__aggregate_01,160.0,Wind,Tamil Nadu-N.A.,Statewide / multiple districts,Tirunelveli,Tirunelveli,279.51,0.3021414960333319,84.4515695562766,"Residual-gap allocation from supplied OSM/Overpass wind-turbine geography: turbine locations were matched to 2020 32-district boundaries; the mapped distribution was scaled to ICED operational wind, retained known district MW was subtracted, and positive gaps were normalized to the unresolved row",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Wind District Evidence),Medium,"Only ICED row 160 is redistributed. OSM turbine mapping is incomplete and most turbines lack MW tags, so turbine geography is used for shares, not as an authoritative capacity total."
