date,snapshot_signature,repeat_count,span_days,reason
2025-08-24,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-08-25,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-08-26,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-08-27,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-08-28,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-08-29,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-08-30,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-08-31,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-09-04,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-09-05,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-09-06,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-09-07,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-09-20,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-01,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-11,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-12,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-15,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-16,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-17,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-18,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-19,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-20,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-21,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-22,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-23,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-25,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-26,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-27,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-10-28,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-11-01,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-11-02,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-11-08,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-11-09,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-11-15,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-11-16,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-11-22,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-11-29,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-11-30,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-12-04,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-12-13,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-12-14,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-12-25,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-12-26,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-12-27,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-12-28,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2026-01-01,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2026-01-10,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2026-01-24,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2026-01-25,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2026-01-26,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2026-03-14,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2026-03-15,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2026-03-28,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2026-03-29,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2026-03-31,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
